item_id	variable_id
1	14
2	14
3	14
4	14
5	14
6	14
8	15
10	15
11	15
12	15
26	17
27	17
28	17
29	17
30	17
31	17
32	18
33	18
34	18
35	18
36	18
37	18
38	19
39	19
40	19
41	19
42	19
43	19
44	20
45	20
46	20
47	20
48	20
49	20
50	20
51	21
52	21
53	21
54	21
55	21
56	22
58	22
60	22
96	34
97	34
98	34
104	38
105	38
106	38
111	42
112	42
113	42
114	42
115	42
116	43
117	43
118	43
119	43
120	43
121	44
122	44
123	44
124	45
125	45
126	45
127	46
128	46
129	46
130	47
131	47
132	47
133	47
134	47
135	47
136	48
137	48
138	48
139	49
140	49
141	50
142	50
143	50
144	50
145	50
152	61
153	61
154	61
155	61
156	61
157	61
158	72
159	72
160	73
161	73
162	74
163	74
164	74
165	74
166	74
167	74
168	75
169	75
170	75
171	76
172	76
173	76
174	77
175	77
176	77
177	77
178	77
179	77
180	78
181	78
182	79
183	79
184	79
185	79
186	79
187	79
188	80
189	80
190	80
191	81
192	81
193	82
194	82
195	82
196	82
197	83
198	83
199	83
200	84
201	84
202	84
203	85
204	85
205	85
206	85
207	85
208	85
209	85
210	86
211	86
212	87
213	87
214	87
215	87
216	87
217	87
218	88
219	88
220	88
221	88
222	89
223	89
224	89
225	89
226	90
227	90
228	90
229	90
230	91
231	91
232	91
233	91
234	92
235	92
236	92
237	93
238	93
239	94
240	94
241	94
242	94
243	95
244	95
245	95
246	96
247	96
248	96
249	96
250	96
251	97
252	97
253	97
254	98
255	98
256	98
257	99
258	99
259	99
260	99
261	100
262	100
263	100
264	101
265	101
266	101
267	102
268	102
269	102
270	102
271	102
272	103
273	103
274	103
275	103
276	104
277	104
278	104
279	104
280	105
281	105
282	105
283	105
284	106
285	106
286	106
287	106
288	107
289	107
290	107
291	107
292	108
293	108
294	108
295	108
296	109
297	109
298	109
299	109
300	110
301	110
302	110
303	117
304	117
305	118
306	118
307	118
308	118
309	119
310	119
311	119
312	119
313	120
314	120
315	127
316	127
317	127
318	127
319	127
320	128
321	128
332	130
333	130
334	130
335	130
336	130
337	131
338	131
339	131
340	131
341	131
342	132
343	132
344	132
345	132
346	133
347	133
348	133
349	134
350	134
351	134
352	135
353	135
354	135
355	135
356	136
357	136
358	136
359	136
360	137
361	137
362	137
363	137
364	138
365	138
366	138
367	138
368	138
369	138
370	138
371	139
372	139
373	139
374	140
375	140
376	140
377	140
378	140
379	140
380	140
381	140
382	140
383	140
384	142
385	142
386	142
387	142
388	143
389	143
390	143
391	143
392	143
393	143
394	144
395	144
396	144
397	144
398	144
399	144
400	144
401	144
402	145
403	145
404	145
405	145
406	146
407	146
408	146
409	146
410	146
411	147
412	147
413	147
414	147
415	148
416	148
417	148
418	149
419	149
420	149
421	150
422	150
423	150
424	151
425	151
426	151
427	152
428	152
429	152
430	153
431	153
432	154
433	154
434	154
435	155
436	155
437	155
438	155
439	155
440	155
441	156
442	157
443	157
444	158
445	158
446	162
447	162
448	162
449	162
450	162
451	162
452	162
453	162
454	162
455	162
456	169
457	169
458	169
459	169
460	169
461	169
462	170
463	170
464	170
465	170
466	170
467	171
468	171
469	171
470	171
471	171
472	172
473	172
474	172
475	172
501	178
502	178
503	178
504	178
507	180
508	180
509	180
510	180
511	180
527	184
528	184
529	184
530	184
531	184
532	185
533	185
534	185
535	185
536	185
537	186
538	186
539	186
540	186
541	187
542	187
543	187
544	187
545	187
546	188
547	188
548	188
549	188
550	189
551	189
552	189
